,,,,,Full Description,Killed,Injured,threat_id,Community,Province,Count,Attack Type,Date of Attack
Al Asad Airbase,Anbar Governorate,1,Missile,2026-02-28,"Most strikes in Saudi Arabia were reported to be intercepted.""},{""threat_id"":""THRT-IRN-IRQ-001"",""category"":""Geopolitical"",""attack_type"":""Missile"",""location"":{""city"":""Al Asad Airbase"",""province"":""Anbar Governorate"",""coordinates"":[33.7997,42.428]},""severity"":""Critical"",""confidence"":""High"",""timestamp"":""2026-02-28T00:00:00Z"",""details"":""Iran launched missiles targeting Al Asad Airbase in Iraq",0,0,,,,,,
Bandar Abbas,Hormozgan,1,Missile,2026-02-28,"Most strikes in Iraq were reported to be intercepted.""},{""threat_id"":""THRT-IRN-IRN-002"",""category"":""Geopolitical"",""attack_type"":""Missile launch"",""location"":{""city"":""Bandar Abbas"",""province"":""Hormozgan"",""coordinates"":[27.1822,56.2801]},""severity"":""Critical"",""confidence"":""High"",""timestamp"":""2026-02-28T00:00:00Z"",""details"":""Third missile launched from Bandar Abbas, Iran, towards the sea, targeting US assets in the southern Persian Gulf.""},{""threat_id"":""THRT-USISR-IRN-001"",""category"":""Geopolitical"",""attack_type"":""Missile Strike"",""location"":{""city"":""Minab"",""province"":""Hormozgan"",""coordinates"":[27.15,57.08]},""severity"":""Critical"",""confidence"":""High"",""timestamp"":""2026-02-28T00:00:00Z"",""details"":""A missile strike hit a girls' elementary school in Minab, Hormozgan province, Iran, killing at least 51 students",0,0,,,,,,
,,1,Unknown Type,Unknown Date,This occurred amidst reported preemptive US-Israeli strikes on Iran,0,0,,,,,,
Tehran,Tehran,1,Explosion,2026-02-28,"While reports confirm the strike, the attribution of intent is noted as having some ambiguity.""},{""threat_id"":""THRT-USISR-IRN-002"",""category"":""Geopolitical"",""attack_type"":""Explosion"",""location"":{""city"":""Tehran"",""province"":""Tehran"",""coordinates"":[35.6892,51.389]},""severity"":""Critical"",""confidence"":""High"",""timestamp"":""2026-02-28T00:00:00Z"",""details"":""An explosion rocked Tehran",0,0,,,,,,
,,1,Unknown Type,Unknown Date,"Israel's defense minister confirmed hitting Iran, with US support, as part of preemptive strikes",0,0,,,,,,
Erbil,Kurdistan Region,1,Explosion,2026-02-28,"Tehran's air defenses were activated.""},{""threat_id"":""THRT-IRN-IRQ-002"",""category"":""Geopolitical"",""attack_type"":""Explosion"",""location"":{""city"":""Erbil"",""province"":""Kurdistan Region"",""coordinates"":[36.1912,44.0094]},""severity"":""Critical"",""confidence"":""High"",""timestamp"":""2026-02-28T00:00:00Z"",""details"":""A major explosion hit Erbil.""},{""threat_id"":""THRT-USISR-IRN-003"",""category"":""Geopolitical"",""attack_type"":""Airstrikes"",""location"":{""city"":""Shiraz"",""province"":""Fars"",""coordinates"":[29.6053,52.5358]},""severity"":""Critical"",""confidence"":""High"",""timestamp"":""2026-02-28T00:00:00Z"",""details"":""Around 30 joint US-Israeli airstrikes hit Shiraz within 30 minutes, striking key sites.""},{""threat_id"":""THRT-IRN-IRN-003"",""category"":""Geopolitical"",""attack_type"":""Hypersonic Missile Launch"",""location"":{""city"":""Iran"",""province"":""Iran"",""coordinates"":[32.4279,53.688]},""severity"":""Critical"",""confidence"":""High"",""timestamp"":""2026-02-28T00:00:00Z"",""details"":""Iran launched a Fattah hypersonic missile",0,0,,,,,,
,,1,Unknown Type,Unknown Date,"No specific target or impact location is mentioned in the report.""}]",0,0,,,,,,
,Gulf states,1,Drone,2026-02-28,"[{""threat_id"": ""THRT-IRN-001"", ""category"": ""Geopolitical"", ""attack_type"": ""Missile, Drone"", ""location"": {""city"": null, ""province"": null, ""coordinates"": null}, ""severity"": ""Critical"", ""confidence"": ""High"", ""timestamp"": ""2026-02-28T00:00:00Z"", ""details"": ""Iran's Revolutionary Guards confirmed launching a first wave of missile and drone attacks against Israel.""}, {""threat_id"": ""THRT-IRN-002"", ""category"": ""Geopolitical"", ""attack_type"": ""Missile Barrage"", ""location"": {""city"": null, ""province"": ""Gulf states"", ""coordinates"": null}, ""severity"": ""Critical"", ""confidence"": ""High"", ""timestamp"": ""2026-02-28T00:00:00Z"", ""details"": ""Iran launched missile barrages targeting U.S",0,0,,,,,,
,,1,Unknown Type,Unknown Date,"military bases and facilities across Bahrain, UAE, Qatar, Kuwait, Saudi Arabia, Iraq (Al Asad), and Jordan",0,0,,,,,,
,,1,Unknown Type,Unknown Date,One civilian was killed in Abu Dhabi from debris,0,0,,,,,,
Manama,Capital Governorate,1,Drone,2026-02-28,"31 Israelis were reported dead.""}, {""threat_id"": ""THRT-IRN-004"", ""category"": ""Geopolitical"", ""attack_type"": ""Drone"", ""location"": {""city"": ""Manama"", ""province"": ""Capital Governorate"", ""coordinates"": null}, ""severity"": ""Critical"", ""confidence"": ""High"", ""timestamp"": ""2026-02-28T17:40:00Z"", ""details"": ""An Iranian Shahed-136 drone hit a central building in Manama, Bahrain, specifically the U.S",0,0,,,,,,
Al-Udeid,Al Rayyan Municipality,1,Missile,2026-02-28,"Navy 5th Fleet headquarters.""}, {""threat_id"": ""THRT-IRN-005"", ""category"": ""Geopolitical"", ""attack_type"": ""Ballistic Missile"", ""location"": {""city"": ""Al-Udeid"", ""province"": ""Al Rayyan Municipality"", ""coordinates"": null}, ""severity"": ""Critical"", ""confidence"": ""High"", ""timestamp"": ""2026-02-28T00:00:00Z"", ""details"": ""An advanced American radar system was hit and destroyed by an Iranian ballistic missile attack at the US Al-Udeid Air Force Base in Qatar.""}, {""threat_id"": ""THRT-IRN-006"", ""category"": ""Geopolitical"", ""attack_type"": ""Strike"", ""location"": {""city"": null, ""province"": null, ""coordinates"": null}, ""severity"": ""Critical"", ""confidence"": ""High"", ""timestamp"": ""2026-02-28T07:00:00Z"", ""details"": ""U.S",0,0,,,,,,
,,1,Unknown Type,Unknown Date,"and Israeli forces launched a massive preemptive strike on Iran, including Tehran, Isfahan, Qom, Karaj, Kermanshah, Tabriz, and Lorestan, targeting Iran’s senior leadership and obliterating government ministries and military facilities",0,0,,,,,,
Minab,Hormozgan,1,IED,2026-02-28,"A direct strike was carried out near the office of Supreme Leader Ayatollah Ali Khamenei.""}, {""threat_id"": ""THRT-IRN-007"", ""category"": ""Geopolitical"", ""attack_type"": ""Missile Strike"", ""location"": {""city"": ""Minab"", ""province"": ""Hormozgan"", ""coordinates"": [27.109896, 57.084759]}, ""severity"": ""Critical"", ""confidence"": ""High"", ""timestamp"": ""2026-02-28T00:00:00Z"", ""details"": ""An Israeli or American missile strike hit a girls' elementary school in Minab, Hormozgan Province, resulting in at least 51-85 student deaths",0,0,,,,,,
Qom,Qom,1,Explosion,2026-02-28,"The school was located in or near a military base, suggesting a possible mis-targeting.""}, {""threat_id"": ""THRT-IRN-008"", ""category"": ""Geopolitical"", ""attack_type"": ""Attack"", ""location"": {""city"": ""Qom"", ""province"": ""Qom"", ""coordinates"": null}, ""severity"": ""Critical"", ""confidence"": ""High"", ""timestamp"": ""2026-02-28T00:00:00Z"", ""details"": ""A missile site in Qom, Iran, was subjected to an attack by US/Israeli forces.""}, {""threat_id"": ""THRT-IRN-009"", ""category"": ""Geopolitical"", ""attack_type"": ""Attack"", ""location"": {""city"": ""Kerman"", ""province"": ""Kerman"", ""coordinates"": null}, ""severity"": ""Critical"", ""confidence"": ""High"", ""timestamp"": ""2026-02-28T00:00:00Z"", ""details"": ""Kerman missile site in Iran was under attack by US/Israeli forces.""}, {""threat_id"": ""THRT-IRN-010"", ""category"": ""Geopolitical"", ""attack_type"": ""Attack"", ""location"": {""city"": ""Sepah Bidganeh"", ""province"": ""Markazi"", ""coordinates"": null}, ""severity"": ""Critical"", ""confidence"": ""High"", ""timestamp"": ""2026-02-28T00:00:00Z"", ""details"": ""Missile launchers at the Sepah Bidganeh site in Iran were attacked by US/Israeli forces, with several severe explosions reported.""}, {""threat_id"": ""THRT-IRN-011"", ""category"": ""Geopolitical"", ""attack_type"": ""Missile Attack"", ""location"": {""city"": null, ""province"": ""Bushehr"", ""coordinates"": null}, ""severity"": ""Critical"", ""confidence"": ""High"", ""timestamp"": ""2026-02-28T00:00:00Z"", ""details"": ""Two locations in Bushehr province, Iran, were subjected to a missile attack by US/Israeli forces.""}, {""threat_id"": ""THRT-IRN-012"", ""category"": ""Geopolitical"", ""attack_type"": ""Strike"", ""location"": {""city"": ""Abu Dhabi"", ""province"": ""Abu Dhabi"", ""coordinates"": null}, ""severity"": ""Critical"", ""confidence"": ""High"", ""timestamp"": ""2026-02-28T00:00:00Z"", ""details"": ""Iran targeted the port in Abu Dhabi, UAE, causing smoke over the city.""}, {""threat_id"": ""THRT-IRN-013"", ""category"": ""Geopolitical"", ""attack_type"": ""Strike"", ""location"": {""city"": ""Kuwait City"", ""province"": ""Al Asimah"", ""coordinates"": null}, ""severity"": ""Critical"", ""confidence"": ""High"", ""timestamp"": ""2026-02-28T00:00:00Z"", ""details"": ""Explosions were heard and sirens activated in Kuwait as part of Iranian retaliation.""}, {""threat_id"": ""THRT-IRN-014"", ""category"": ""Geopolitical"", ""attack_type"": ""Missile"", ""location"": {""city"": null, ""province"": ""Qatar"", ""coordinates"": null}, ""severity"": ""Critical"", ""confidence"": ""High"", ""timestamp"": ""2026-02-28T00:00:00Z"", ""details"": ""Two Iranian missiles were intercepted mid-air over Qatar as part of Iranian retaliation; residents were ordered indoors.""}]",0,0,,,,,,
Minab,Hormozgan,1,Missile,2026-02-28,"{""threat_id"": ""THRT-IRN-US-ISR-MINAB-001"", ""category"": ""Geopolitical"", ""attack_type"": ""Missile Strike"", ""location"": {""city"": ""Minab"", ""province"": ""Hormozgan""}, ""severity"": ""Critical"", ""confidence"": ""High"", ""timestamp"": ""2026-02-28T08:04:00Z"", ""details"": ""US and Israeli missile strike targeted a primary girls' school in Minab, Hormozgan province, southern Iran, killing dozens of innocent children",0,0,,,,,,
,,1,Unknown Type,Unknown Date,Casualty estimates range from 40 to 160 students,0,0,,,,,,
,,1,Unknown Type,2026-02-28,"Reported on 2026-02-28 at 08:04 AM.""}",0,0,,,,,,
,,1,Drone,2026-02-28,"[{""threat_id"": ""THRT-ATT-001"", ""category"": ""Geopolitical"", ""attack_type"": ""Missile & Drone"", ""location"": {""country"": ""Qatar"", ""details"": ""US military base""}, ""severity"": ""Critical"", ""confidence"": ""High"", ""timestamp"": ""2026-02-28T00:00:00Z"", ""details"": ""Iran launched 44 missiles and 8 drones towards a US military base in Qatar as part of retaliatory strikes.""}, {""threat_id"": ""THRT-ATT-002"", ""category"": ""Geopolitical"", ""attack_type"": ""Missile"", ""location"": {""country"": ""Bahrain"", ""details"": ""US Naval Base (Fifth Fleet HQ)""}, ""severity"": ""Critical"", ""confidence"": ""High"", ""timestamp"": ""2026-02-28T00:00:00Z"", ""details"": ""Iran launched a missile attack against the headquarters of the US Fifth Fleet in Bahrain, which was reportedly intercepted and neutralized by Bahraini forces",0,0,,,,,,
Abu Dhabi,,1,Missile,2026-02-28,"The Bahraini government condemned it as a 'treacherous attack'.""}, {""threat_id"": ""THRT-ATT-003"", ""category"": ""Geopolitical"", ""attack_type"": ""Missile"", ""location"": {""country"": ""Kuwait"", ""details"": ""US military installations""}, ""severity"": ""High"", ""confidence"": ""High"", ""timestamp"": ""2026-02-28T00:00:00Z"", ""details"": ""Iran confirmed retaliatory strikes against US military installations in Kuwait.""}, {""threat_id"": ""THRT-ATT-004"", ""category"": ""Geopolitical"", ""attack_type"": ""Ballistic Missile"", ""location"": {""city"": ""Abu Dhabi"", ""country"": ""UAE"", ""details"": ""US military installations""}, ""severity"": ""Critical"", ""confidence"": ""High"", ""timestamp"": ""2026-02-28T00:00:00Z"", ""details"": ""Iran launched ballistic missiles towards US military installations in Abu Dhabi",0,0,,,,,,
Dubai,,1,Missile,2026-02-28,"Intercepted missiles resulted in at least one fatality.""}, {""threat_id"": ""THRT-ATT-005"", ""category"": ""Geopolitical"", ""attack_type"": ""Ballistic Missile"", ""location"": {""city"": ""Dubai"", ""country"": ""UAE"", ""details"": ""Palm Jumeirah area, Fairmont The Palm hotel""}, ""severity"": ""Critical"", ""confidence"": ""High"", ""timestamp"": ""2026-02-28T00:00:00Z"", ""details"": ""Iranian ballistic missiles hit the Palm Jumeirah area in Dubai, with the Fairmont The Palm hotel reportedly catching fire.""}, {""threat_id"": ""THRT-ATT-006"", ""category"": ""Geopolitical"", ""attack_type"": ""Missile"", ""location"": {""country"": ""Syria"", ""details"": ""US assets""}, ""severity"": ""High"", ""confidence"": ""Medium"", ""timestamp"": ""2026-02-28T00:00:00Z"", ""details"": ""Iran launched retaliatory strikes against US assets in Syria.""}, {""threat_id"": ""THRT-ATT-007"", ""category"": ""Geopolitical"", ""attack_type"": ""Missile"", ""location"": {""country"": ""Jordan"", ""details"": ""US military bases""}, ""severity"": ""High"", ""confidence"": ""High"", ""timestamp"": ""2026-02-28T00:00:00Z"", ""details"": ""Iran launched retaliatory missile strikes against US military bases in Jordan.""}, {""threat_id"": ""THRT-ATT-008"", ""category"": ""Geopolitical"", ""attack_type"": ""Ballistic Missile"", ""location"": {""country"": ""Iraq"", ""details"": ""US assets/bases""}, ""severity"": ""High"", ""confidence"": ""High"", ""timestamp"": ""2026-02-28T00:00:00Z"", ""details"": ""Iran launched retaliatory ballistic missile strikes targeting US assets/bases in Iraq, potentially also targeting Iran-backed militias.""}, {""threat_id"": ""THRT-ATT-009"", ""category"": ""Geopolitical"", ""attack_type"": ""Ballistic Missile"", ""location"": {""country"": ""Saudi Arabia"", ""details"": ""US military installations""}, ""severity"": ""High"", ""confidence"": ""High"", ""timestamp"": ""2026-02-28T00:00:00Z"", ""details"": ""Iran launched ballistic missile strikes against US military installations in Saudi Arabia.""}, {""threat_id"": ""THRT-ATT-010"", ""category"": ""Geopolitical"", ""attack_type"": ""Missile (Ballistic, Hypersonic)"", ""location"": {""country"": ""Israel"", ""details"": ""Several Israeli cities""}, ""severity"": ""Critical"", ""confidence"": ""High"", ""timestamp"": ""2026-02-28T00:00:00Z"", ""details"": ""Iran launched 127 missiles, including hypersonic missiles, towards Israeli cities, with 33 reportedly hitting their targets as part of retaliatory strikes.""}, {""threat_id"": ""THRT-ATT-011"", ""category"": ""Geopolitical"", ""attack_type"": ""Aerial Bombardment (Fighter Jets)"", ""location"": {""country"": ""Iran"", ""details"": ""Iranian missile array and defense systems in western and central Iran, approx",0,0,,,,,,
